epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9029,1.23389,2.32081,1.41952,0.44736,0.35584,0.32534,0.21336,1.33647,2.17334,1.54699,0.000329787,0.000329787,0.000329787
2,54.1415,1.29646,1.89684,1.44227,0.31075,0.44985,0.30659,0.17617,1.51215,2.31721,1.66096,0.000656556,0.000656556,0.000656556
3,80.1413,1.3651,1.87737,1.4908,0.28967,0.43153,0.28131,0.14483,1.56772,2.69147,1.76556,0.000976724,0.000976724,0.000976724
4,114.983,1.34837,1.85313,1.47898,0.34183,0.24914,0.24264,0.12477,1.75872,2.36447,2.011,0.0009703,0.0009703,0.0009703
5,144.875,1.29894,1.77894,1.44314,0.39573,0.38247,0.36399,0.2094,1.50225,2.02029,1.67117,0.0009604,0.0009604,0.0009604
6,174.354,1.27652,1.69136,1.4276,0.43408,0.44811,0.43038,0.2667,1.39765,1.74585,1.60067,0.0009505,0.0009505,0.0009505
7,204.147,1.28207,1.63007,1.41187,0.57699,0.41595,0.44233,0.27859,1.35605,1.77036,1.53015,0.0009406,0.0009406,0.0009406
8,234.249,1.24864,1.56967,1.40652,0.5114,0.43247,0.45274,0.27593,1.40081,1.73058,1.60345,0.0009307,0.0009307,0.0009307
9,264.408,1.20372,1.47923,1.37221,0.42729,0.4573,0.46827,0.26438,1.43121,1.75144,1.56064,0.0009208,0.0009208,0.0009208
10,294.658,1.18707,1.42352,1.35828,0.50932,0.43912,0.46817,0.309,1.29095,1.65952,1.50031,0.0009109,0.0009109,0.0009109
11,327.508,1.16047,1.42708,1.33598,0.48495,0.5112,0.49225,0.31306,1.29248,1.52703,1.50812,0.000901,0.000901,0.000901
12,359.075,1.14951,1.39008,1.3193,0.66685,0.44521,0.52972,0.34871,1.30165,1.48883,1.4796,0.0008911,0.0008911,0.0008911
13,390.034,1.12696,1.29641,1.3219,0.50578,0.46181,0.48086,0.3137,1.30723,1.54981,1.5083,0.0008812,0.0008812,0.0008812
14,420.925,1.11811,1.28498,1.31092,0.63386,0.47268,0.52595,0.34927,1.30108,1.49304,1.52305,0.0008713,0.0008713,0.0008713
15,452.155,1.09206,1.24047,1.30051,0.64531,0.48321,0.55247,0.37429,1.26072,1.47025,1.48324,0.0008614,0.0008614,0.0008614
16,483.6,1.10484,1.24611,1.29503,0.45043,0.5283,0.4978,0.33946,1.25369,1.59355,1.44961,0.0008515,0.0008515,0.0008515
17,515.313,1.07526,1.1723,1.27421,0.62116,0.48809,0.55622,0.36077,1.32881,1.41571,1.51793,0.0008416,0.0008416,0.0008416
18,546.841,1.05505,1.14413,1.26947,0.65432,0.51924,0.60965,0.42672,1.16624,1.28381,1.39451,0.0008317,0.0008317,0.0008317
19,578.363,1.04717,1.097,1.2533,0.72554,0.48861,0.57528,0.39364,1.20602,1.34593,1.43756,0.0008218,0.0008218,0.0008218
20,609.651,1.01574,1.06678,1.23448,0.65907,0.50256,0.58217,0.3885,1.2212,1.28309,1.42892,0.0008119,0.0008119,0.0008119
21,640.727,1.0139,1.04518,1.23669,0.65354,0.49013,0.56806,0.38606,1.20135,1.40011,1.4201,0.000802,0.000802,0.000802
